0|iata_code|1|name_eng|2|country_eng
AAA|AAA|Anaa|Anaa|French Polynesia|French Polynesia
AAB|AAB|Arrabury|Arrabury|Australia|Australia
AAC|AAC|Al Arish International Airport|Al Arish International Airport|Egypt|Egypt
AAD|AAD|Ad-Dabbah|Ad-Dabbah|Sudan|Sudan
AAE|AAE|Les Salines|Les Salines|Algeria|Algeria
AAF|AAF|Municipal|Municipal|United States|United States
AAG|AAG|Arapoti|Arapoti|Brazil|Brazil
AAH|AAH|Aachen/Merzbruck|Aachen/Merzbruck|Germany|Germany
AAI|AAI|Arraias|Arraias|Brazil|Brazil
AAJ|AAJ|Cayana Airstrip|Cayana Airstrip|Suriname|Suriname
AAK|AAK|Aranuka|Aranuka|Kiribati|Kiribati
AAL|AAL|Aalborg|Aalborg|Denmark|Denmark
AAM|AAM|Mala Mala|Mala Mala|South Africa|South Africa
AAN|AAN|Al Ain|Al Ain|United Arab Emirates|United Arab Emirates
AAO|AAO|Anaco|Anaco|Venezuela|Venezuela
AAP|AAP|Andrau Airpark|Andrau Airpark|United States|United States
AAQ|AAQ|Vityazevo|Vityazevo|Russian Federation|Russian Federation
AAR|AAR|Aarhus Airport|Aarhus Airport|Denmark|Denmark
AAS|AAS|Apalapsili|Apalapsili|Indonesia|Indonesia
AAT|AAT|Altay|Altay|China|China
AAU|AAU|Asau|Asau|Samoa|Samoa
AAV|AAV|Allah Valley|Allah Valley|Philippines|Philippines
AAW|AAW|Abbottabad|Abbottabad|Pakistan|Pakistan
AAX|AAX|Araxa|Araxa|Brazil|Brazil
AAY|AAY|Al Ghaydah|Al Ghaydah|Yemen|Yemen
AAZ|AAZ|Ambriz|Ambriz|Angola|Angola
ABA|ABA|Abakan|Abakan|Russian Federation|Russian Federation
ABB|ABB|RAF Station|RAF Station|United Kingdom|United Kingdom
ABC|ABC|Los Llanos|Los Llanos|Spain|Spain
ABD|ABD|Abadan|Abadan|Iran|Iran
ABF|ABF|Abaiang|Abaiang|Kiribati|Kiribati
ABG|ABG|Abingdon|Abingdon|Australia|Australia
ABH|ABH|Alpha|Alpha|Australia|Australia
ABI|ABI|Municipal|Municipal|United States|United States
ABJ|ABJ|Felix Houphouet Boigny|Felix Houphouet Boigny|Cote D&#039;Ivoire|Cote D&#039;Ivoire
ABK|ABK|Kabri Dar|Kabri Dar|Ethiopia|Ethiopia
ABL|ABL|Ambler|Ambler|United States|United States
ABM|ABM|Bamaga Injinoo|Bamaga Injinoo|Australia|Australia
ABN|ABN|Albina|Albina|Suriname|Suriname
ABO|ABO|Aboisso|Aboisso|Cote D&#039;Ivoire|Cote D&#039;Ivoire
ABP|ABP|Atkamba|Atkamba|Papua New Guinea|Papua New Guinea
ABQ|ABQ|Albuquerque International|Albuquerque International|United States|United States
ABR|ABR|Municipal|Municipal|United States|United States
ABS|ABS|Abu Simbel|Abu Simbel|Egypt|Egypt
ABT|ABT|Al-Aqiq|Al-Aqiq|Saudi Arabia|Saudi Arabia
ABU|ABU|Atambua|Atambua|Indonesia|Indonesia
ABV|ABV|Nnamdi Azikiwe International Airport|Nnamdi Azikiwe International Airport|Nigeria|Nigeria
ABW|ABW|Abau|Abau|Papua New Guinea|Papua New Guinea
ABX|ABX|Albury|Albury|Australia|Australia
ABY|ABY|Dougherty County|Dougherty County|United States|United States
ABZ|ABZ|Dyce|Dyce|United Kingdom|United Kingdom
ACB|ACB|Antrim County|Antrim County|United States|United States
ACC|ACC|Kotoka|Kotoka|Ghana|Ghana
ACD|ACD|Acandi|Acandi|Colombia|Colombia
ACE|ACE|Lanzarote|Lanzarote|Spain|Spain
ACH|ACH|Altenrhein|Altenrhein|Switzerland|Switzerland
ACI|ACI|The Blaye|The Blaye|United Kingdom|United Kingdom
ACJ|ACJ|Anuradhapura|Anuradhapura|Sri Lanka|Sri Lanka
ACK|ACK|Nantucket Memorial|Nantucket Memorial|United States|United States
ACL|ACL|Aguaclara|Aguaclara|Colombia|Colombia
ACM|ACM|Arica|Arica|Colombia|Colombia
ACN|ACN|International|International|Mexico|Mexico
ACO|ACO|Ascona|Ascona|Switzerland|Switzerland
ACP|ACP|Sahand|Sahand|Iran|Iran
ACR|ACR|Araracuara|Araracuara|Colombia|Colombia
ACS|ACS|Achinsk|Achinsk|Russian Federation|Russian Federation
ACT|ACT|Municipal|Municipal|United States|United States
ACU|ACU|Achutupo|Achutupo|Panama|Panama
ACV|ACV|Arcata|Arcata|United States|United States
ACX|ACX|Xingyi|Xingyi|China|China
ACY|ACY|Atlantic City Intl|Atlantic City Intl|United States|United States
ACZ|ACZ|Zabol A/P|Zabol A/P|Iran|Iran
ADA|ADA|Adana|Adana|Turkey|Turkey
ADB|ADB|Adnan Menderes|Adnan Menderes|Turkey|Turkey
ADC|ADC|Andakombe|Andakombe|Papua New Guinea|Papua New Guinea
ADD|ADD|Bole International|Bole International|Ethiopia|Ethiopia
ADE|ADE|International|International|Yemen|Yemen
ADF|ADF|Adiyaman|Adiyaman|Turkey|Turkey
ADG|ADG|Lenawee County|Lenawee County|United States|United States
ADH|ADH|Aldan|Aldan|Russian Federation|Russian Federation
ADI|ADI|Arandis|Arandis|Namibia|Namibia
ADJ|ADJ|Marka International Airport|Marka International Airport|Jordan|Jordan
ADK|ADK|Adak Island NS|Adak Island NS|United States|United States
ADL|ADL|Adelaide International Airport|Adelaide International Airport|Australia|Australia
ADM|ADM|Ardmore Municipal Arpt|Ardmore Municipal Arpt|United States|United States
ADN|ADN|Andes|Andes|Colombia|Colombia
ADO|ADO|Andamooka|Andamooka|Australia|Australia
ADP|ADP|Ampara|Ampara|Sri Lanka|Sri Lanka
ADQ|ADQ|Kodiak Airport|Kodiak Airport|United States|United States
ADR|ADR|Andrews|Andrews|United States|United States
ADS|ADS|Addison Airport|Addison Airport|United States|United States
ADT|ADT|Ada|Ada|United States|United States
ADU|ADU|Ardabil|Ardabil|Iran|Iran
ADV|ADV|Andover|Andover|United Kingdom|United Kingdom
ADW|ADW|Andrews AFB|Andrews AFB|United States|United States
ADX|ADX|Leuchars|Leuchars|United Kingdom|United Kingdom
ADY|ADY|Alldays|Alldays|South Africa|South Africa
ADZ|ADZ|San Andres Island|San Andres Island|Colombia|Colombia
AEA|AEA|Abemama Atoll|Abemama Atoll|Kiribati|Kiribati
AED|AED|Aleneva|Aleneva|United States|United States
AEG|AEG|Aek Godang|Aek Godang|Indonesia|Indonesia
AEH|AEH|Abecher|Abecher|Chad|Chad
AEI|AEI|Algeciras|Algeciras|Spain|Spain
AEK|AEK|Aseki|Aseki|Papua New Guinea|Papua New Guinea
AEL|AEL|Albert Lea|Albert Lea|United States|United States
AEO|AEO|Aioun El Atrouss|Aioun El Atrouss|Mauritania|Mauritania
AEP|AEP|Arpt. Jorge Newbery|Arpt. Jorge Newbery|Argentina|Argentina
AER|AER|Adler - Sochi|Adler - Sochi|Russian Federation|Russian Federation
AES|AES|Vigra|Vigra|Norway|Norway
AET|AET|Allakaket|Allakaket|United States|United States
AEU|AEU|Abu Musa|Abu Musa|Iran|Iran
AEX|AEX|Alexandria International|Alexandria International|United States|United States
AEY|AEY|Akureyri|Akureyri|Iceland|Iceland
AFA|AFA|San Rafael|San Rafael|Argentina|Argentina
AFD|AFD|Port Alfred|Port Alfred|South Africa|South Africa
AFF|AFF|USAF Academy Airstrip|USAF Academy Airstrip|United States|United States
AFI|AFI|Amalfi|Amalfi|Colombia|Colombia
AFK|AFK|Kondavattavan Tank|Kondavattavan Tank|Sri Lanka|Sri Lanka
AFL|AFL|Alta Floresta|Alta Floresta|Brazil|Brazil
AFN|AFN|Municipal|Municipal|United States|United States
AFO|AFO|Municipal|Municipal|United States|United States
AFR|AFR|Afore|Afore|Papua New Guinea|Papua New Guinea
AFS|AFS|Zarafshan|Zarafshan|Uzbekistan|Uzbekistan
AFT|AFT|Afutara Aerodrome|Afutara Aerodrome|Solomon Islands|Solomon Islands
AFW|AFW|Fort Worth Alliance|Fort Worth Alliance|United States|United States
AFY|AFY|Afyon|Afyon|Turkey|Turkey
AFZ|AFZ|Sabzevar|Sabzevar|Iran|Iran
AGA|AGA|Agadir Almassira|Agadir Almassira|Morocco|Morocco
AGB|AGB|Augsburg - Muehlhausen|Augsburg - Muehlhausen|Germany|Germany
AGC|AGC|Allegheny County|Allegheny County|United States|United States
AGD|AGD|Anggi|Anggi|Indonesia|Indonesia
AGE|AGE|Flugplatz|Flugplatz|Germany|Germany
AGF|AGF|La Garenne|La Garenne|France|France
AGG|AGG|Angoram|Angoram|Papua New Guinea|Papua New Guinea
AGH|AGH|Angelholm|Angelholm|Sweden|Sweden
AGI|AGI|Wageningen|Wageningen|Suriname|Suriname
AGJ|AGJ|Aguni|Aguni|Japan|Japan
AGK|AGK|Kagua|Kagua|Papua New Guinea|Papua New Guinea
AGL|AGL|Wanigela|Wanigela|Papua New Guinea|Papua New Guinea
AGM|AGM|Tasiilaq|Tasiilaq|Greenland|Greenland
AGN|AGN|Angoon|Angoon|United States|United States
AGO|AGO|Municipal|Municipal|United States|United States
AGP|AGP|Pablo Ruiz Picasso|Pablo Ruiz Picasso|Spain|Spain
AGQ|AGQ|Agrinion|Agrinion|Greece|Greece
AGR|AGR|Kheria|Kheria|India|India
AGS|AGS|Bush Field|Bush Field|United States|United States
AGT|AGT|Alejo Garcia|Alejo Garcia|Paraguay|Paraguay
AGU|AGU|Aguascalients|Aguascalients|Mexico|Mexico
AGV|AGV|Acarigua|Acarigua|Venezuela|Venezuela
AGW|AGW|Agnew|Agnew|Australia|Australia
AGX|AGX|Agatti Island|Agatti Island|India|India
